Title,???,Topic,???,Content,???,Course,???,Order,***
Favicon,???,"Adding fonts, icons and favicon",???,"<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150""><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span>
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_12_Favicon.mov"" type=""video/quicktime"" />
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_12_Favicon.mp4"" type=""video/mp4"" />
</video>
<h2>Presentation</h2>
<iframe src=""https://docs.google.com/presentation/d/e/2PACX-1vTuRLPdrnPviDEcWmEwVMAk6-h9Fnxbyuglu4g_3VgKxIKg1YpPMtaap05XueIFLuEUBtqtyyXOUT5b/embed?start=false&amp;loop=false&amp;delayms=3000"" width=""600"" height=""360"" frameborder=""0"" allowfullscreen=""allowfullscreen""><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span></iframe>
<h2>Your task</h2>
<h2>1. Add a favicon to your website.</h2>
<ul>
 	<li><a href=""https://www.favicon.cc"" target=""_blank"" rel=""noopener noreferrer"">https://www.favicon.cc</a></li>
 	<li><a href=""https://favicon.io"" target=""_blank"" rel=""noopener noreferrer"">https://favicon.io</a></li>
</ul>
<h2>2. ...share your favourites favicons on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack</a> ;-)</h2>
<h2>Questions?</h2>
Ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack</a> or write your question down here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,14,***
Your personal website - walk through,???,Let's build your personal website ,???,"<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150"">
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_13_Personal_website_walk_through.mov"" type=""video/quicktime"" />
<span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_13_Personal_website_walk_through.mp4"" type=""video/mp4"" /><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span>
</video>
<h2>Link to the website:</h2>
<a href=""https://hharen.github.io/mltc_webdev_course/"" target=""_blank"" rel=""noopener noreferrer"">https://hharen.github.io/mltc_webdev_course/</a>
<h2>Your tasks</h2>
1. Have a look at the website. Think about how is it structured. What sections will you use? What elements?

2. Make a sketch of the website, pen and paper version is good enough.

3. Try to recreate the website yourself, start with the easy things.

4. You can start to prepare your content, but remember not to get stuck with it, the goal here is to practice HTML and CSS elements, not to make all the content perfect ;)

&nbsp;

Enjoy and have fun. We'll go through the website building process in the next videos but I really encourage you to try by yourselves. If you'd get stuck, drop a question in our <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack</a> channel.
<h2>Questions?</h2>
Ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack</a> or write your question down here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,15,***
Adding HTML structure,???,Let's build your personal website ,???,"<h2>Link to the website:</h2>
<a href=""https://hharen.github.io/mltc_webdev_course/"" target=""_blank"" rel=""noopener noreferrer"">https://hharen.github.io/mltc_webdev_course/</a>
<h2>Your tasks</h2>
1. Create a new folder for your website with the HTML file. Use the HTML5 boilerplate and change the title.

2. Add the sections and content into the body tag. For now, you can leave out the header part with menu and hero image, use just h1 tag.

3. Add the picture.
<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150"">
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_14_Adding_HTML_Structure.mov"" type=""video/quicktime"" />
<span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_14_Adding_HTML_Structure.mp4"" type=""video/mp4"" /><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span>
</video>

&nbsp;

Enjoy and have fun. We'll go through the website building process in the next videos but I really encourage you to try by yourselves. If you'd get stuck, drop a question in our <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack</a> channel.
<h2>Questions?</h2>
Ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack</a> or write your question down here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,16,***
Add links,???,Let's build your personal website ,???,"<h2>Link to the website:</h2>
<a href=""https://hharen.github.io/mltc_webdev_course/"" target=""_blank"" rel=""noopener noreferrer"">https://hharen.github.io/mltc_webdev_course/</a>
<h2>Your task</h2>
Add the links.
<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150"">
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_15_Add_links.mov"" type=""video/quicktime"" />
<span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_15_Add_links.mp4"" type=""video/mp4"" /><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span>
</video>
<h2>Questions?</h2>
If you need a quick answer, ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack.</a> Otherwise, you can post your question for a Q&amp;A session here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,17,***
Add icons,???,Let's build your personal website ,???,"<h2>Link to the website:</h2>
<a href=""https://hharen.github.io/mltc_webdev_course/"" target=""_blank"" rel=""noopener noreferrer"">https://hharen.github.io/mltc_webdev_course/</a>
<h2>Your task</h2>
Add <a href=""http://fontawesome.com/icons/"" target=""_blank"" rel=""noopener noreferrer"">Font Awesome</a> icons. You can use this source for your script tag: https://kit.fontawesome.com/fc08c5bc44.js. You want to add this script: &lt;script src=”https://kit.fontawesome.com/fc08c5bc44.js” crossorigin=”anonymous”&gt;&lt;/script&gt;
<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150"">
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_16_Add_Icons.mov"" type=""video/quicktime"" />
<span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_16_Add_Icons.mp4"" type=""video/mp4"" /><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span>
</video>
<h2>Questions?</h2>
If you need a quick answer, ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack.</a> Otherwise you can post your question for a Q&amp;A session here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,18,***
Create your CSS file and add fonts,???,Let's build your personal website ,???,"<h2>Link to the website:</h2>
<a href=""https://hharen.github.io/mltc_webdev_course/"" target=""_blank"" rel=""noopener noreferrer"">https://hharen.github.io/mltc_webdev_course/</a>
<h2>Your tasks</h2>
1. Create a CSS file and place it to the css folder.

2. Select and add <a href=""https://fonts.google.com/"" target=""_blank"" rel=""noopener noreferrer"">Google Fonts</a>.
<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150"">
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_17_Connect_CSS_Add_Fonts.mov"" type=""video/quicktime"" />
<span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_17_Connect_CSS_Add_Fonts.mp4"" type=""video/mp4"" /><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span>
</video>
<h2>Questions?</h2>
If you need a quick answer, ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack.</a> Otherwise, you can post your question for a Q&amp;A session here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,19,***
Style the containers,???,Let's build your personal website ,???,"<h2>Link to the website:</h2>
<a href=""https://hharen.github.io/mltc_webdev_course/"" target=""_blank"" rel=""noopener noreferrer"">https://hharen.github.io/mltc_webdev_course/</a>
<h2>Your task</h2>
Style the containers. You can choose some colours from <a href=""https://color.adobe.com/create/color-wheel"" target=""_blank"" rel=""noopener noreferrer"">Adobe Kuler</a> or <a href=""https://colors.muz.li/"" target=""_blank"" rel=""noopener noreferrer"">Muzli colors</a>.
<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150"">
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_18_Containers_Section.mov"" type=""video/quicktime"" />
<span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_18_Containers_Section.mp4"" type=""video/mp4"" /><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span>
</video>
<h2>Questions?</h2>
If you need a quick answer, ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack.</a> Otherwise you can post your question for a Q&amp;A session here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,20,***
Style lists,???,Let's build your personal website ,???,"<h2>Link to the website:</h2>
<a href=""https://hharen.github.io/mltc_webdev_course/"" target=""_blank"" rel=""noopener noreferrer"">https://hharen.github.io/mltc_webdev_course/</a>
<h2>Your task</h2>
Style lists.
<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150"">
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_19_Lists.mov"" type=""video/quicktime"" />
<span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_19_Lists.mp4"" type=""video/mp4"" /><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span>
</video>
<h2>Questions?</h2>
If you need a quick answer, ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack.</a> Otherwise, you can post your question for a Q&amp;A session here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,21,***
Styling the text,???,Let's build your personal website ,???,"<h2>Link to the website:</h2>
<a href=""https://hharen.github.io/mltc_webdev_course/"" target=""_blank"" rel=""noopener noreferrer"">https://hharen.github.io/mltc_webdev_course/</a>
<h2>Your task</h2>
Style the text. You can check for properties and their values at <a href=""https://www.w3schools.com/css/css_text.asp"" target=""_blank"" rel=""noopener noreferrer"">W3 schools</a> or read more about text styling on <a href=""https://developer.mozilla.org/en-US/docs/Learn/CSS/Styling_text/Fundamentals"" target=""_blank"" rel=""noopener noreferrer"">MDN</a>.
<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150"">
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_20_Styling_Text.mov"" type=""video/quicktime"" />
<span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_20_Styling_Text.mp4"" type=""video/mp4"" /><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span>
</video>
<h2>Questions?</h2>
If you need a quick answer, ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack.</a> Otherwise, you can post your question for a Q&amp;A session here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,22,***
Creating on-page navigation,???,Let's build your personal website ,???,"<h2>Link to the website:</h2>
<a href=""https://hharen.github.io/mltc_webdev_course/"" target=""_blank"" rel=""noopener noreferrer"">https://hharen.github.io/mltc_webdev_course/</a>
<h2>Your task</h2>
Add navigation. We will use the &lt;nav&gt; tag and three links.
<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150"">
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_21_Navigation.mov"" type=""video/quicktime"" />
<span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_21_Navigation.mp4"" type=""video/mp4"" /><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span>
</video>
<h2>Questions?</h2>
If you need a quick answer, ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack.</a> Otherwise, you can post your question for a Q&amp;A session here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,23,***
Header,???,Let's build your personal website ,???,"<h2>Link to the website:</h2>
<a href=""https://hharen.github.io/mltc_webdev_course/"" target=""_blank"" rel=""noopener noreferrer"">https://hharen.github.io/mltc_webdev_course/</a>
<h2>Your task</h2>
Now it's time to add the header. You want to use 'background-image' property. In this example, you'll also learn how to add a colour gradient to your background image.
<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150"">
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_22_Header.mov"" type=""video/quicktime"" />
<span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_22_Header.mp4"" type=""video/mp4"" /><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span>
</video>
<h2>Questions?</h2>
If you need a quick answer, ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack.</a> Otherwise, you can post your question for a Q&amp;A session here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,24,***
Last fixes,???,Let's build your personal website ,???,"<h2>Link to the website:</h2>
<a href=""https://hharen.github.io/mltc_webdev_course/"" target=""_blank"" rel=""noopener noreferrer"">https://hharen.github.io/mltc_webdev_course/</a>
<h2>Your task</h2>
Go over the website and check if everything is correct. In this video, we'll fix some font sizes and we'll also add media rule to make our website display differently on smaller screens. You can read more about @media rule <a href=""https://www.w3schools.com/cssref/css3_pr_mediaquery.asp"" target=""_blank"" rel=""noopener noreferrer"">here</a>.
<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150"">
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_23_Last_fixes.mov"" type=""video/quicktime"" />
<span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_23_Last_fixes.mp4"" type=""video/mp4"" /><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span>
</video>
<h2>Questions?</h2>
If you need a quick answer, ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack.</a> Otherwise, you can post your question for a Q&amp;A session here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,25,***
Favicon,???,Let's build your personal website ,???,"<h2>Link to the website:</h2>
<a href=""https://hharen.github.io/mltc_webdev_course/"" target=""_blank"" rel=""noopener noreferrer"">https://hharen.github.io/mltc_webdev_course/</a>
<h2>Your task</h2>
Last finishing touch - we'll add our favicon.

You can create your favicon here: <a href=""https://favicon.io/"" target=""_blank"" rel=""noopener noreferrer"">https://favicon.io/</a>

&nbsp;

Also, we'd love what you've created, let's learn from each other and share your websites on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack.</a> Don't underestimate the power of sharing. It motivates not only you but also others ;o)
<h2>Video</h2>
<video class=""course-video"" controls=""controls"" width=""300"" height=""150"">
<source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_24_Favicon.mov"" type=""video/quicktime"" />
<span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_start"">﻿</span><source src=""https://mltcwebdev.s3-eu-west-1.amazonaws.com/web-dev-1/WD1_24_Favicon.mp4"" type=""video/mp4"" /><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span><span style=""display: inline-block; width: 0px; overflow: hidden; line-height: 0;"" data-mce-type=""bookmark"" class=""mce_SELRES_end"">﻿</span>
</video>
<h2>Questions?</h2>
If you need a quick answer, ask on <a href=""https://app.slack.com/client/TP3DU1WRZ/G01CZERLTAT"" target=""_blank"" rel=""noopener noreferrer"">Slack.</a> Otherwise, you can post your question for a Q&amp;A session here:

<iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSevsd8ewW3D4lVjL6oD7RXhAN9gLxGZGmGWJSkjKQdEdp6K9Q/viewform?embedded=true"" width=""640"" height=""716"" frameborder=""0"" marginwidth=""0"" marginheight=""0"">Loading…</iframe>",???,web,???,26,***
Cheatsheets and resources,???,Resources,???,"<h2>Cheatsheet</h2>
Here you have cheatsheet with <a href=""https://docs.google.com/document/d/1_NfJoRUvy6AAX3Pl5pVTYuq5NBPaUsjvwVPc7Eu3l8Q/edit"" target=""_blank"" rel=""noopener noreferrer"">basic html elements</a>. You can save it or print it.

Check your HTML and CSS with these validators:
<ul>
 	<li><a href=""https://validator.w3.org/nu/"" target=""_blank"" rel=""noopener noreferrer"">HTML validator</a></li>
 	<li><a href=""https://jigsaw.w3.org/css-validator/"" target=""_blank"" rel=""noopener noreferrer"">CSS validator</a></li>
</ul>
<h2><b>Where to find colour combinations</b></h2>
<a href=""https://color.adobe.com/"">https://color.adobe.com/</a>

<a href=""https://colorhunt.co/"">https://colorhunt.co/</a>

<a href=""https://www.canva.com/colors/color-palettes/"">https://www.canva.com/colors/color-palettes/</a>
<h2><b>Where to find attribution free pictures for personal and commercial use</b></h2>
<a href=""https://unsplash.com"" target=""_blank"" rel=""noopener noreferrer"">https://unsplash.com</a>

<a href=""https://pixabay.com"" target=""_blank"" rel=""noopener noreferrer"">https://pixabay.com</a>
<h2><b>Useful resources</b></h2>
<ul>
 	<li><a href=""https://developer.mozilla.org/en-US/docs/Learn"" target=""_blank"" rel=""noopener noreferrer"">MDN web docs</a> - Course about web development from Mozilla developers</li>
 	<li><a href=""https://www.w3schools.com/"" target=""_blank"" rel=""noopener noreferrer"">W3 Schools</a> - useful information when you need to check some html tags or css attributes and properties</li>
 	<li><a href=""https://code.visualstudio.com/shortcuts/keyboard-shortcuts-windows.pdf"" target=""_blank"" rel=""noopener noreferrer"">Visual Code Studio Shortcut references</a></li>
 	<li><a href=""https://gist.github.com/JamieMason/3748498"" target=""_blank"" rel=""noopener noreferrer"">ISO language code reference</a>:</li>
 	<li><a href=""https://codepen.io/"" target=""_blank"" rel=""noopener noreferrer"">Codepen</a> - A great place to play with CSS and HTML code (free, requires registration)</li>
</ul>
<h2><b>A short dictionary of special characters</b></h2>
()    parentheses

{ }     curly brackets, curly braces

[ ]     square braces

&lt; &gt;     angle brackets

-     dash, hyphen, minus

_     underscore

‘ ‘     single quotes

“ “     double quotes

/     slash

\     backslash

=     equal sign

#     dash

|     pipe

:     colon

;    semicolon

,     coma

.     dot, period, full stop",???,web,???,27,***
